trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'e': 0.3173793973029175, 'a': 0.7}",20,0,28.621449472918734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'e': 0.31259147148761524, 'a': 0.7}",25,13,2.0463868986393114,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'e': 0.3078449878419054, 'a': 0.7}",25,0,9.548762197292588,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
154,False,"{'e': 0.3031402591848487, 'a': 0.7}",25,18,-29.208368132053575,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'e': 0.2984775811395412, 'a': 0.7}",20,0,23.025540974791173,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
156,False,"{'e': 0.2938572322785671, 'a': 0.7}",20,15,8.412644185713672,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.2892794742756813, 'a': 0.7}",30,10,2.858715323309177,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
158,False,"{'e': 0.28474455206353533, 'a': 0.7}",30,14,-3.7312143953632906,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
159,False,"{'e': 0.2802526939972587, 'a': 0.7}",20,1,-86.08887292429512,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
160,False,"{'e': 0.2758041120237081, 'a': 0.7}",35,4,7.783393245054892,"{0: 27, 1: 2, 2: 2, 3: 0, 4: 0}",1
161,False,"{'e': 0.2713990018561933, 'a': 0.7}",25,13,19.910705124024297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'e': 0.2670375431544915, 'a': 0.7}",20,12,5.98062093943707,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'e': 0.26271989970995696, 'a': 0.7}",25,1,-18.14121487822471,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
